feature,coefficient,abs_coefficient
cat__Sex_male,-1.289815681111927,1.289815681111927
cat__Sex_female,1.2577743459973598,1.2577743459973598
num__Pclass,-0.8854065051782475,0.8854065051782475
num__Age,-0.4867366644450689,0.4867366644450689
cat__Embarked_S,-0.34438438193244214,0.34438438193244214
cat__Embarked_Q,0.337099475258564,0.337099475258564
num__IsAlone,-0.30832688617131615,0.30832688617131615
num__SibSp,-0.2859746323476412,0.2859746323476412
num__FamilySize,-0.22321347260082733,0.22321347260082733
num__Fare,0.08584332851981846,0.08584332851981846
num__Parch,-0.061276241158937234,0.061276241158937234
cat__Embarked_C,-0.02475642844069096,0.02475642844069096
